id:int,name:string,time:string
1109, Fundamental Programming Concepts, Mon/Wed/Fri
1110, Introduction to Computing Using Python, Tues/Thurs
1112, Introduction to Computing Using MATLAB, Other
1132, Short Course in MATLAB, Mon/Wed/Fri
1133, Short Course in Python, Mon/Wed/Fri
1300, Introductory Design and Programming for the Web, Tues/Thurs
1340, Choices and Consequences in Computing, Tues/Thurs
1380, Data Science for All, Tues/Thurs
1610, Computing in the Arts, Tues/Thurs
1710, Introduction to Cognitive Science, Mon/Wed/Fri
1998, Freshmen and Nontechnical Team Projects, Other
2024, C++ Programming, Mon/Wed/Fri
2043, UNIX Tools and Scripting, Tues/Thurs
2110, Object-Oriented Programming and Data Structures, Mon/Wed/Fri
2111, Programming Practicum, Other
2112, Object-Oriented Design and Data Structures - Honors, Mon/Wed/Fri
2300, Intermediate Design and Programming for the Web, Mon/Wed/Fri
2382, Urban Analytics, Tues/Thurs
2770, Excursions in Computational Sustainability, Tues/Thurs
2800, Discrete Structures, Mon/Wed/Fri
2802, Discrete Structures - Honors, Mon/Wed/Fri
2850, Networks, Tues/Thurs
3110, Data Structures and Functional Programming, Mon/Wed/Fri
3152, Introduction to Computer Game Architecture, Mon/Wed/Fri
3220, Computational Mathematics for Computer Science, Mon/Wed/Fri
3300, Data-Driven Web Applications, Mon/Wed/Fri
3410, Computer System Organization and Programming, Mon/Wed/Fri
3420, Embedded Systems, Mon/Wed/Fri
3758, Autonomous Mobile Robots, Tues/Thurs
4090, Teaching Experience in Computer Science, Other
4110, Programming Languages and Logics, Tues/Thurs
4120, Introduction to Compilers, Tues/Thurs
4121, Practicum in Compilers, Other
4152, Advanced Topics in Computer Game Architecture, Mon/Wed/Fri
4160, Formal Verification, Tues/Thurs
4210, Numerical Analysis and Differential Equations, Tues/Thurs
4220, Numerical Analysis Linear and Nonlinear Problems, Tues/Thurs
4300, Language and Information, Tues/Thurs
4320, Introduction to Database Systems, Mon/Wed/Fri
4321, Practicum in Database Systems, Mon/Wed/Fri
4410, Operating Systems, Mon/Wed/Fri
